hand	hand_eff	hand_name
['c08', 'd10', 'h10', 'h13']	['c08', 'd10']	Two_Card-10_08
['d01', 'd11', 'h08', 's04']	['d01', 'h08', 's04']	Three_Card-08_04_01
['d13', 's04', 's05', 's10']	['d13', 's04']	Two_Card-13_04
['c12', 'h02', 's04', 's12']	['h02', 'c12', 's04']	Three_Card-12_04_02
['d08', 'd10', 'h04', 's11']	['s11', 'd08', 'h04']	Three_Card-11_08_04
['d03', 'h06', 's06', 's13']	['s06', 'd03']	Two_Card-06_03
['c01', 'c06', 'c07', 'h12']	['c01', 'h12']	Two_Card-12_01
['c08', 'c11', 'c13', 'h09']	['h09', 'c08']	Two_Card-09_08
['c03', 'd07', 'h03', 'h07']	['d07', 'c03']	Two_Card-07_03
['d01', 'd07', 'd13', 'h04']	['d01', 'h04']	Two_Card-04_01
['c05', 'd03', 's07', 's08']	['c05', 's07', 'd03']	Three_Card-07_05_03
['c09', 'd08', 's08', 's10']	['c09', 'd08']	Two_Card-09_08
['h05', 'h06', 's04', 's09']	['h05', 's04']	Two_Card-05_04
['c06', 'c10', 'd01', 'h08']	['d01', 'h08', 'c06']	Three_Card-08_06_01
['c06', 'c13', 's06', 's12']	['s12', 'c06']	Two_Card-12_06
['d02', 'h04', 's05', 's11']	['s05', 'd02', 'h04']	Three_Card-05_04_02
['c02', 'c07', 'd01', 'd08']	['d01', 'c02']	Two_Card-02_01
['c08', 'd05', 'd10', 's11']	['d05', 'c08', 's11']	Three_Card-11_08_05
['c11', 'c12', 'd13', 's05']	['c11', 'd13', 's05']	Three_Card-13_11_05
['d06', 'h10', 'h11', 'h12']	['h10', 'd06']	Two_Card-10_06
['c06', 'd09', 'd11', 'h08']	['d09', 'h08', 'c06']	Three_Card-09_08_06
['d04', 'h10', 's01', 's11']	['s01', 'h10', 'd04']	Three_Card-10_04_01
['h09', 'h12', 's02', 's03']	['h09', 's02']	Two_Card-09_02
['c03', 'h06', 's11', 's12']	['s11', 'h06', 'c03']	Three_Card-11_06_03
['c06', 'd11', 'h05', 's12']	['d11', 'h05', 'c06', 's12']	Badugi-12_11_06_05
['c07', 'd09', 'h05', 's12']	['d09', 'h05', 'c07', 's12']	Badugi-12_09_07_05
['d13', 'h10', 's05', 's06']	['s05', 'd13', 'h10']	Three_Card-13_10_05
['c04', 'c06', 'h01', 'h05']	['h01', 'c04']	Two_Card-04_01
['d09', 'h02', 's05', 's06']	['s05', 'h02', 'd09']	Three_Card-09_05_02
['d02', 'h03', 's06', 's08']	['d02', 's06', 'h03']	Three_Card-06_03_02
['d01', 'h08', 's10', 's12']	['d01', 'h08', 's10']	Three_Card-10_08_01
['d06', 'h11', 's02', 's12']	['h11', 's02', 'd06']	Three_Card-11_06_02
['d08', 'd09', 'd13', 'h11']	['h11', 'd08']	Two_Card-11_08
['c08', 'd04', 'h03', 'h11']	['c08', 'h03', 'd04']	Three_Card-08_04_03
['c05', 'c09', 'd01', 'h03']	['c05', 'd01', 'h03']	Three_Card-05_03_01
['c05', 'c10', 'd12', 'h05']	['h05', 'c10', 'd12']	Three_Card-12_10_05
['c05', 'd03', 'h09', 's04']	['c05', 'h09', 'd03', 's04']	Badugi-09_05_04_03
['c04', 'h04', 'h10', 's05']	['s05', 'c04']	Two_Card-05_04
['d07', 'h01', 'h09', 's06']	['h01', 'd07', 's06']	Three_Card-07_06_01
['c12', 'd12', 'h06', 's08']	['s08', 'h06', 'c12']	Three_Card-12_08_06
['c04', 'd06', 'd09', 's12']	['s12', 'd06', 'c04']	Three_Card-12_06_04
['c03', 'h02', 'h08', 's12']	['h02', 's12', 'c03']	Three_Card-12_03_02
['c08', 'c13', 'h11', 's13']	['h11', 'c08', 's13']	Three_Card-13_11_08
['d04', 'd13', 'h04', 's12']	['s12', 'd04']	Two_Card-12_04
['d06', 's04', 's06', 's08']	['d06', 's04']	Two_Card-06_04
['c08', 'c10', 's09', 's13']	['s09', 'c08']	Two_Card-09_08
['c09', 'h05', 'h09', 'h12']	['c09', 'h05']	Two_Card-09_05
['d03', 'd11', 'h07', 's05']	['s05', 'h07', 'd03']	Three_Card-07_05_03
['c06', 'd07', 'd13', 'h07']	['d07', 'c06']	Two_Card-07_06
['c04', 'd01', 'd09', 's01']	['d01', 'c04']	Two_Card-04_01
['h04', 'h05', 'h07', 's11']	['s11', 'h04']	Two_Card-11_04
['c09', 'c10', 'd12', 'h11']	['c09', 'd12', 'h11']	Three_Card-12_11_09
['c07', 'd06', 'h10', 'h11']	['h10', 'd06', 'c07']	Three_Card-10_07_06
['c03', 'c07', 'd04', 'd05']	['c03', 'd04']	Two_Card-04_03
['c09', 'h07', 's03', 's13']	['c09', 'h07', 's03']	Three_Card-09_07_03
['c01', 'h05', 'h09', 's04']	['c01', 'h05', 's04']	Three_Card-05_04_01
['c05', 'c10', 'h03', 's13']	['c05', 's13', 'h03']	Three_Card-13_05_03
['c11', 'c13', 'd06', 's13']	['c11', 's13', 'd06']	Three_Card-13_11_06
['d04', 'h04', 's02', 's09']	['s02', 'd04']	Two_Card-04_02
['c12', 'c13', 'd06', 'h02']	['h02', 'd06', 'c12']	Three_Card-12_06_02
['d05', 'd08', 'd09', 'd12']	['d05']	One_Card-05
['c02', 'd11', 'h04', 's11']	['s11', 'c02', 'h04']	Three_Card-11_04_02
['c09', 'h06', 'h07', 's10']	['c09', 's10', 'h06']	Three_Card-10_09_06
['d06', 'h13', 's10', 's13']	['h13', 's10', 'd06']	Three_Card-13_10_06
['d10', 'h10', 's04', 's08']	['d10', 's04']	Two_Card-10_04
['d03', 'h02', 's10', 's13']	['h02', 's10', 'd03']	Three_Card-10_03_02
['c06', 'd02', 'd04', 'd06']	['d02', 'c06']	Two_Card-06_02
['d10', 'h06', 'h08', 's07']	['h06', 'd10', 's07']	Three_Card-10_07_06
['c04', 'd06', 'd07', 'h11']	['h11', 'd06', 'c04']	Three_Card-11_06_04
['d02', 'd12', 's07', 's08']	['d02', 's07']	Two_Card-07_02
['c01', 'c02', 'c13', 's06']	['c01', 's06']	Two_Card-06_01
['c03', 'h06', 'h12', 's06']	['s06', 'c03']	Two_Card-06_03
['c04', 'c05', 'd08', 's09']	['s09', 'd08', 'c04']	Three_Card-09_08_04
['c07', 'c09', 'd05', 's06']	['d05', 's06', 'c07']	Three_Card-07_06_05
['c07', 'h02', 'h03', 'h05']	['h02', 'c07']	Two_Card-07_02
['c13', 'd09', 'h01', 'h04']	['d09', 'c13', 'h01']	Three_Card-13_09_01
['c08', 'd04', 'd12', 'h11']	['h11', 'c08', 'd04']	Three_Card-11_08_04
['c06', 'd02', 'h05', 's12']	['h05', 'd02', 'c06', 's12']	Badugi-12_06_05_02
['d02', 'd09', 'h03', 's03']	['d02', 's03']	Two_Card-03_02
['c13', 'd11', 'h01', 's02']	['d11', 's02', 'h01', 'c13']	Badugi-13_11_02_01
['d02', 's02', 's03', 's04']	['d02', 's03']	Two_Card-03_02
['h02', 's02', 's11', 's13']	['s11', 'h02']	Two_Card-11_02
['d06', 'h03', 'h09', 's10']	['s10', 'd06', 'h03']	Three_Card-10_06_03
['d02', 'd05', 'h01', 's13']	['h01', 's13', 'd02']	Three_Card-13_02_01
['c01', 'd09', 'h01', 's10']	['c01', 's10', 'd09']	Three_Card-10_09_01
['c02', 'c03', 's02', 's08']	['s02', 'c03']	Two_Card-03_02
['d04', 'd06', 'h02', 'h09']	['h02', 'd04']	Two_Card-04_02
['c02', 'c13', 'h01', 's11']	['s11', 'c02', 'h01']	Three_Card-11_02_01
['c03', 'c12', 'd08', 'h09']	['h09', 'd08', 'c03']	Three_Card-09_08_03
['h02', 'h03', 'h08', 's04']	['h02', 's04']	Two_Card-04_02
['c07', 'd09', 'h12', 's12']	['d09', 'c07', 's12']	Three_Card-12_09_07
['c12', 's04', 's05', 's09']	['c12', 's04']	Two_Card-12_04
['c01', 'c02', 'h03', 's01']	['s01', 'c02', 'h03']	Three_Card-03_02_01
['c13', 'd10', 's08', 's09']	['c13', 'd10', 's08']	Three_Card-13_10_08
['d03', 'h03', 'h06', 's11']	['s11', 'h06', 'd03']	Three_Card-11_06_03
['d07', 'd12', 'h05', 's02']	['h05', 's02', 'd07']	Three_Card-07_05_02
['c09', 'd13', 'h11', 's06']	['c09', 'd13', 's06', 'h11']	Badugi-13_11_09_06
['c03', 'd02', 'h01', 's03']	['h01', 'd02', 's03']	Three_Card-03_02_01
['c04', 'c12', 'd08', 's09']	['s09', 'd08', 'c04']	Three_Card-09_08_04
['d04', 'h08', 'h13', 's13']	['s13', 'h08', 'd04']	Three_Card-13_08_04
['d04', 's03', 's10', 's13']	['s03', 'd04']	Two_Card-04_03
['c08', 'd02', 'd07', 's01']	['s01', 'c08', 'd02']	Three_Card-08_02_01
['d05', 'h13', 's06', 's09']	['d05', 'h13', 's06']	Three_Card-13_06_05
['c12', 'h07', 'h11', 's07']	['h11', 's07', 'c12']	Three_Card-12_11_07
['d07', 'h06', 's06', 's09']	['d07', 's06']	Two_Card-07_06
['d08', 'd11', 'h05', 's03']	['h05', 'd08', 's03']	Three_Card-08_05_03
['c03', 'c04', 's10', 's13']	['s10', 'c03']	Two_Card-10_03
['c05', 'd10', 'h12', 's08']	['c05', 's08', 'd10', 'h12']	Badugi-12_10_08_05
['c07', 'c12', 's08', 's12']	['s08', 'c07']	Two_Card-08_07
['c05', 'c12', 'h04', 'h05']	['c05', 'h04']	Two_Card-05_04
['d03', 'd08', 'h12', 's07']	['h12', 's07', 'd03']	Three_Card-12_07_03
['c13', 'd04', 'h07', 's05']	['s05', 'c13', 'h07', 'd04']	Badugi-13_07_05_04
['c13', 'd06', 'h10', 's09']	['s09', 'c13', 'h10', 'd06']	Badugi-13_10_09_06
['c11', 'h09', 's10', 's12']	['c11', 's10', 'h09']	Three_Card-11_10_09
['d01', 'd06', 'h09', 's13']	['d01', 's13', 'h09']	Three_Card-13_09_01
['d10', 'h02', 'h08', 's10']	['h02', 's10']	Two_Card-10_02
['d01', 'd07', 'h02', 's07']	['d01', 'h02', 's07']	Three_Card-07_02_01
['c05', 'd07', 'd09', 's11']	['c05', 'd07', 's11']	Three_Card-11_07_05
['c01', 'h06', 'h10', 's13']	['c01', 's13', 'h06']	Three_Card-13_06_01
['c01', 'd07', 'd09', 'd12']	['c01', 'd07']	Two_Card-07_01
['d03', 'd06', 'h06', 's12']	['h06', 's12', 'd03']	Three_Card-12_06_03
['c04', 'c07', 'd05', 's04']	['d05', 'c04']	Two_Card-05_04
['c09', 'd10', 'h12', 'h13']	['c09', 'd10', 'h12']	Three_Card-12_10_09
['c05', 'h08', 'h10', 's10']	['c05', 'h08', 's10']	Three_Card-10_08_05
['c02', 'd12', 'h08', 's09']	['s09', 'c02', 'd12', 'h08']	Badugi-12_09_08_02
['c12', 'c13', 's07', 's09']	['s07', 'c12']	Two_Card-12_07
['c10', 'd11', 'h07', 's12']	['d11', 'c10', 'h07', 's12']	Badugi-12_11_10_07
['c13', 's02', 's03', 's04']	['c13', 's02']	Two_Card-13_02
['c10', 'h04', 'h12', 's02']	['s02', 'c10', 'h04']	Three_Card-10_04_02
['d04', 'h03', 'h04', 's12']	['s12', 'h03', 'd04']	Three_Card-12_04_03
['c01', 'c03', 'c12', 's06']	['c01', 's06']	Two_Card-06_01
['c02', 'c04', 'd13', 'h02']	['d13', 'h02', 'c04']	Three_Card-13_04_02
['d05', 'd11', 's07', 's10']	['d05', 's07']	Two_Card-07_05
['c04', 'd03', 'd11', 's12']	['s12', 'd03', 'c04']	Three_Card-12_04_03
['c10', 'h06', 's07', 's08']	['h06', 'c10', 's07']	Three_Card-10_07_06
['c03', 'd04', 's01', 's11']	['s01', 'c03', 'd04']	Three_Card-04_03_01
['c09', 'c10', 'c11', 'c12']	['c09']	One_Card-09
['c08', 'd11', 'h02', 'h08']	['d11', 'c08', 'h02']	Three_Card-11_08_02
['c10', 'c11', 'd11', 's04']	['d11', 'c10', 's04']	Three_Card-11_10_04
['c13', 'd03', 'h05', 's07']	['h05', 'c13', 's07', 'd03']	Badugi-13_07_05_03
['h11', 's03', 's06', 's10']	['h11', 's03']	Two_Card-11_03
['c06', 'c08', 'd12', 'h10']	['d12', 'h10', 'c06']	Three_Card-12_10_06
['d06', 'd11', 'h01', 's11']	['s11', 'h01', 'd06']	Three_Card-11_06_01
['c03', 'c12', 'd03', 'h12']	['h12', 'c03']	Two_Card-12_03
['c08', 'd10', 'h11', 's05']	['s05', 'c08', 'd10', 'h11']	Badugi-11_10_08_05
['d09', 'h01', 'h06', 'h08']	['d09', 'h01']	Two_Card-09_01
['h09', 's01', 's02', 's06']	['s01', 'h09']	Two_Card-09_01
['c05', 'h04', 's05', 's12']	['c05', 'h04']	Two_Card-05_04
['c12', 'c13', 'd12', 's13']	['s13', 'c12']	Two_Card-13_12
['c02', 'c05', 'c09', 's08']	['c02', 's08']	Two_Card-08_02
['d04', 'h01', 'h11', 's06']	['h01', 's06', 'd04']	Three_Card-06_04_01
['d12', 's10', 's12', 's13']	['s10', 'd12']	Two_Card-12_10
['c01', 'c13', 'd07', 'h09']	['c01', 'h09', 'd07']	Three_Card-09_07_01
['c11', 'h05', 'h12', 's01']	['c11', 'h05', 's01']	Three_Card-11_05_01
['c04', 'd11', 'h13', 's05']	['s05', 'h13', 'd11', 'c04']	Badugi-13_11_05_04
['d01', 'd12', 's06', 's10']	['d01', 's06']	Two_Card-06_01
['h04', 'h05', 'h10', 's09']	['s09', 'h04']	Two_Card-09_04
['c06', 'h11', 's05', 's12']	['s05', 'c06', 'h11']	Three_Card-11_06_05
['c06', 'd13', 'h05', 'h08']	['h05', 'd13', 'c06']	Three_Card-13_06_05
['c02', 'c06', 'h03', 'h08']	['c02', 'h03']	Two_Card-03_02
['c09', 'd04', 'd06', 'h12']	['c09', 'h12', 'd04']	Three_Card-12_09_04
['c02', 'd08', 'h11', 'h13']	['h11', 'c02', 'd08']	Three_Card-11_08_02
['d06', 'd11', 'h09', 's10']	['h09', 's10', 'd06']	Three_Card-10_09_06
['c13', 'd08', 'd09', 's11']	['s11', 'c13', 'd08']	Three_Card-13_11_08
['c06', 'd13', 'h03', 's05']	['s05', 'd13', 'c06', 'h03']	Badugi-13_06_05_03
['c01', 'c09', 'd03', 'd06']	['c01', 'd03']	Two_Card-03_01
['c13', 'd13', 's02', 's08']	['c13', 's02']	Two_Card-13_02
['c12', 'h07', 'h09', 's12']	['h07', 'c12']	Two_Card-12_07
['c09', 'd03', 'd13', 'h09']	['c09', 'd03']	Two_Card-09_03
['c12', 'd11', 'h02', 's06']	['d11', 'h02', 'c12', 's06']	Badugi-12_11_06_02
['c10', 'd07', 'd09', 'h03']	['c10', 'd07', 'h03']	Three_Card-10_07_03
['c07', 'd03', 'd10', 'h04']	['c07', 'd03', 'h04']	Three_Card-07_04_03
['c02', 'c12', 'h11', 's11']	['s11', 'c02']	Two_Card-11_02
['c02', 'd04', 'h02', 'h11']	['c02', 'd04']	Two_Card-04_02
['c02', 'c06', 'd06', 's05']	['s05', 'c02', 'd06']	Three_Card-06_05_02
['c08', 'd02', 'd05', 's12']	['c08', 'd02', 's12']	Three_Card-12_08_02
['c08', 'd02', 'h03', 's10']	['c08', 'd02', 's10', 'h03']	Badugi-10_08_03_02
['c02', 'c13', 'd06', 's12']	['c02', 's12', 'd06']	Three_Card-12_06_02
['c02', 'c03', 'c10', 's08']	['c02', 's08']	Two_Card-08_02
['c02', 'c08', 'h07', 's08']	['c02', 'h07', 's08']	Three_Card-08_07_02
['d08', 'h03', 'h07', 's04']	['d08', 'h03', 's04']	Three_Card-08_04_03
['c11', 'd07', 'd08', 'h05']	['c11', 'h05', 'd07']	Three_Card-11_07_05
['c08', 'h03', 's06', 's07']	['c08', 's06', 'h03']	Three_Card-08_06_03
['c04', 'd04', 'h10', 's06']	['h10', 's06', 'c04']	Three_Card-10_06_04
['c07', 'c11', 's07', 's11']	['c11', 's07']	Two_Card-11_07
['c01', 'c07', 'h01', 's09']	['s09', 'h01', 'c07']	Three_Card-09_07_01
['d03', 'd06', 'd09', 'h09']	['h09', 'd03']	Two_Card-09_03
['c04', 'd05', 'h05', 's09']	['s09', 'd05', 'c04']	Three_Card-09_05_04
['c06', 'd12', 'h06', 'h07']	['d12', 'h07', 'c06']	Three_Card-12_07_06
['c02', 'c03', 'd06', 'h13']	['c02', 'd06', 'h13']	Three_Card-13_06_02
['c06', 'd06', 'h02', 'h12']	['h02', 'c06']	Two_Card-06_02
['c09', 'h04', 's08', 's09']	['c09', 's08', 'h04']	Three_Card-09_08_04
['h01', 's02', 's04', 's07']	['h01', 's02']	Two_Card-02_01
['c08', 'd10', 'h02', 'h07']	['c08', 'h02', 'd10']	Three_Card-10_08_02
['c01', 'c07', 'h03', 's10']	['c01', 's10', 'h03']	Three_Card-10_03_01
['d01', 'h01', 'h05', 's05']	['s05', 'd01']	Two_Card-05_01
['c05', 'c13', 'h09', 'h13']	['c05', 'h09']	Two_Card-09_05
['d05', 'd13', 'h11', 's04']	['d05', 'h11', 's04']	Three_Card-11_05_04
['d02', 'd13', 'h05', 'h07']	['h05', 'd02']	Two_Card-05_02
['c05', 'c11', 's01', 's08']	['c05', 's01']	Two_Card-05_01
['c07', 'd08', 'h09', 's02']	['h09', 's02', 'c07', 'd08']	Badugi-09_08_07_02
['s05', 's07', 's11', 's13']	['s05']	One_Card-05
['d04', 's01', 's03', 's05']	['s01', 'd04']	Two_Card-04_01
['c04', 'c13', 'd02', 'h03']	['d02', 'h03', 'c04']	Three_Card-04_03_02
['c12', 'd03', 'd06', 'd13']	['c12', 'd03']	Two_Card-12_03
['c01', 'c04', 'c13', 'd09']	['c01', 'd09']	Two_Card-09_01
['c04', 'd12', 'd13', 'h12']	['d12', 'c04']	Two_Card-12_04
['c03', 'c07', 'd12', 'h05']	['h05', 'd12', 'c03']	Three_Card-12_05_03
['c03', 'd13', 'h13', 's09']	['s09', 'd13', 'c03']	Three_Card-13_09_03
['d02', 'd06', 'd08', 's11']	['s11', 'd02']	Two_Card-11_02
['d01', 'h06', 'h11', 's02']	['d01', 's02', 'h06']	Three_Card-06_02_01
['c03', 'h05', 'h08', 's09']	['s09', 'h05', 'c03']	Three_Card-09_05_03
['c10', 'h03', 'h06', 's01']	['s01', 'c10', 'h03']	Three_Card-10_03_01
['d05', 'd06', 'd08', 'h12']	['d05', 'h12']	Two_Card-12_05
['c09', 'h03', 's06', 's08']	['c09', 's06', 'h03']	Three_Card-09_06_03
['h06', 's03', 's12', 's13']	['h06', 's03']	Two_Card-06_03
['c04', 'd03', 'd05', 's09']	['s09', 'd03', 'c04']	Three_Card-09_04_03
['c09', 'd02', 'h05', 'h10']	['c09', 'd02', 'h05']	Three_Card-09_05_02
['h12', 's01', 's02', 's09']	['s01', 'h12']	Two_Card-12_01
['c05', 'd03', 'h03', 's12']	['c05', 's12', 'd03']	Three_Card-12_05_03
['c08', 'd01', 'd03', 'd09']	['d01', 'c08']	Two_Card-08_01
['d07', 's06', 's07', 's10']	['s06', 'd07']	Two_Card-07_06
['d08', 'h08', 'h12', 'h13']	['d08', 'h12']	Two_Card-12_08
['d05', 'd12', 'h01', 's13']	['d05', 's13', 'h01']	Three_Card-13_05_01
['c06', 'd10', 'h01', 'h05']	['h01', 'd10', 'c06']	Three_Card-10_06_01
['c13', 'd04', 'd11', 's13']	['c13', 'd04']	Two_Card-13_04
['d08', 'd09', 'd11', 'h12']	['d08', 'h12']	Two_Card-12_08
['c02', 'd10', 'd12', 'h08']	['c02', 'd10', 'h08']	Three_Card-10_08_02
['c09', 'c11', 'd11', 'h05']	['c09', 'h05', 'd11']	Three_Card-11_09_05
['d03', 'h09', 'h12', 's03']	['h09', 's03']	Two_Card-09_03
['c04', 'c07', 'd12', 's07']	['s07', 'd12', 'c04']	Three_Card-12_07_04
['d02', 'd09', 'd10', 'h08']	['d02', 'h08']	Two_Card-08_02
['c01', 'd10', 's01', 's10']	['c01', 'd10']	Two_Card-10_01
['c07', 'c12', 'd02', 'd05']	['d02', 'c07']	Two_Card-07_02
['c09', 'd08', 'h01', 's07']	['c09', 'd08', 'h01', 's07']	Badugi-09_08_07_01
['c05', 'd07', 'h11', 's06']	['c05', 'd07', 's06', 'h11']	Badugi-11_07_06_05
['d01', 'd03', 'd04', 'd10']	['d01']	One_Card-01
['c10', 'd11', 'd13', 's02']	['d11', 's02', 'c10']	Three_Card-11_10_02
['d02', 'd07', 'h02', 's11']	['s11', 'h02', 'd07']	Three_Card-11_07_02
['c04', 'c05', 'c12', 's13']	['s13', 'c04']	Two_Card-13_04
['c02', 'd05', 'h03', 's02']	['d05', 's02', 'h03']	Three_Card-05_03_02
['c05', 'c07', 'c10', 'd03']	['c05', 'd03']	Two_Card-05_03
['d09', 'h05', 'h08', 's13']	['d09', 's13', 'h05']	Three_Card-13_09_05
['d12', 's02', 's08', 's09']	['s02', 'd12']	Two_Card-12_02
['c13', 'h08', 'h09', 'h10']	['c13', 'h08']	Two_Card-13_08
['c02', 'c11', 'h10', 's10']	['c02', 's10']	Two_Card-10_02
['c02', 'd01', 'h04', 's06']	['d01', 'c02', 's06', 'h04']	Badugi-06_04_02_01
['c05', 'c08', 'd13', 'h12']	['c05', 'd13', 'h12']	Three_Card-13_12_05
['c05', 'd08', 'd13', 's10']	['c05', 'd08', 's10']	Three_Card-10_08_05
['c10', 'h04', 'h10', 's08']	['s08', 'c10', 'h04']	Three_Card-10_08_04
['c08', 'c12', 'h05', 's09']	['s09', 'c08', 'h05']	Three_Card-09_08_05
['c08', 'd07', 'd10', 'h13']	['c08', 'd07', 'h13']	Three_Card-13_08_07
['h03', 'h04', 'h06', 'h07']	['h03']	One_Card-03
['c06', 'c08', 'd06', 'd12']	['c08', 'd06']	Two_Card-08_06
['c11', 's02', 's07', 's10']	['c11', 's02']	Two_Card-11_02
['h02', 's02', 's05', 's10']	['s05', 'h02']	Two_Card-05_02
['c04', 'd03', 'h02', 's04']	['h02', 'd03', 's04']	Three_Card-04_03_02
['c11', 'h06', 'h11', 's08']	['c11', 's08', 'h06']	Three_Card-11_08_06
['c02', 'h04', 'h11', 'h13']	['c02', 'h04']	Two_Card-04_02
['c02', 'c03', 'c07', 'd11']	['d11', 'c02']	Two_Card-11_02
['d01', 'd09', 's07', 's11']	['d01', 's07']	Two_Card-07_01
['c12', 'd08', 'd10', 's10']	['d08', 's10', 'c12']	Three_Card-12_10_08
['c04', 'd06', 'd08', 'h09']	['h09', 'd06', 'c04']	Three_Card-09_06_04
['c03', 'c04', 'c13', 'd01']	['d01', 'c03']	Two_Card-03_01
['c10', 'd06', 'd11', 'd13']	['c10', 'd06']	Two_Card-10_06
['c07', 'c08', 'c12', 's09']	['s09', 'c07']	Two_Card-09_07
['c12', 's08', 's10', 's12']	['s08', 'c12']	Two_Card-12_08
['c02', 'c07', 'd08', 'h01']	['h01', 'c02', 'd08']	Three_Card-08_02_01
['d03', 'd11', 'h11', 's11']	['h11', 'd03']	Two_Card-11_03
['d04', 'd06', 'h01', 'h05']	['h01', 'd04']	Two_Card-04_01
['c06', 'd03', 'h05', 's07']	['h05', 'c06', 's07', 'd03']	Badugi-07_06_05_03
['c02', 'c03', 'c06', 'c11']	['c02']	One_Card-02
['c11', 'h10', 's01', 's08']	['c11', 'h10', 's01']	Three_Card-11_10_01
['c06', 'c09', 'd07', 'h10']	['h10', 'd07', 'c06']	Three_Card-10_07_06
['c05', 'd13', 'h11', 's04']	['c05', 'd13', 'h11', 's04']	Badugi-13_11_05_04
['c04', 'd06', 's03', 's05']	['d06', 's03', 'c04']	Three_Card-06_04_03
['c05', 'd01', 'h05', 's07']	['c05', 'd01', 's07']	Three_Card-07_05_01
['d04', 'd07', 'h02', 's09']	['s09', 'h02', 'd04']	Three_Card-09_04_02
['c11', 'c13', 'h01', 'h13']	['c11', 'h01']	Two_Card-11_01
['d09', 'h02', 'h07', 's08']	['d09', 's08', 'h02']	Three_Card-09_08_02
['h02', 'h06', 'h11', 's08']	['s08', 'h02']	Two_Card-08_02
['c07', 'c08', 'h04', 'h12']	['c07', 'h04']	Two_Card-07_04
['c04', 'c10', 'd08', 's07']	['d08', 's07', 'c04']	Three_Card-08_07_04
['c01', 'd05', 'h05', 's09']	['s09', 'd05', 'c01']	Three_Card-09_05_01
['d02', 'd13', 's01', 's05']	['s01', 'd02']	Two_Card-02_01
['d08', 'h04', 'h10', 'h11']	['d08', 'h04']	Two_Card-08_04
['c10', 'd05', 'd09', 's10']	['d05', 'c10']	Two_Card-10_05
['c06', 'd01', 'h09', 's03']	['d01', 'h09', 'c06', 's03']	Badugi-09_06_03_01
['c06', 'd07', 's07', 's08']	['d07', 'c06']	Two_Card-07_06
['c02', 'd09', 'h05', 'h11']	['d09', 'c02', 'h05']	Three_Card-09_05_02
['c01', 'd10', 'h05', 'h07']	['c01', 'h05', 'd10']	Three_Card-10_05_01
['c01', 'c04', 'h13', 's07']	['c01', 'h13', 's07']	Three_Card-13_07_01
['c01', 'd01', 'd07', 'h08']	['c01', 'h08', 'd07']	Three_Card-08_07_01
['c05', 'd11', 'h10', 'h12']	['c05', 'h10', 'd11']	Three_Card-11_10_05
['c05', 'c09', 'c10', 's08']	['c05', 's08']	Two_Card-08_05
['c03', 'd01', 'd10', 'h10']	['d01', 'h10', 'c03']	Three_Card-10_03_01
['c13', 'd04', 'd10', 'h07']	['c13', 'h07', 'd04']	Three_Card-13_07_04
['h03', 'h06', 's06', 's10']	['s06', 'h03']	Two_Card-06_03
['c05', 'd07', 'h03', 'h06']	['c05', 'd07', 'h03']	Three_Card-07_05_03
['d07', 'h01', 'h08', 's12']	['h01', 'd07', 's12']	Three_Card-12_07_01
['d04', 'd13', 'h03', 's13']	['s13', 'h03', 'd04']	Three_Card-13_04_03
['c05', 'd07', 's02', 's05']	['c05', 's02', 'd07']	Three_Card-07_05_02
['c01', 'c07', 'd03', 'h04']	['c01', 'd03', 'h04']	Three_Card-04_03_01
['d07', 'h07', 'h09', 'h13']	['h09', 'd07']	Two_Card-09_07
['c06', 'd11', 'h11', 's11']	['d11', 'c06']	Two_Card-11_06
['d04', 'd06', 'd13', 's03']	['s03', 'd04']	Two_Card-04_03
['c12', 'd12', 's01', 's02']	['s01', 'c12']	Two_Card-12_01
['c11', 'd03', 'h05', 'h12']	['c11', 'h05', 'd03']	Three_Card-11_05_03
['d07', 'd11', 'h02', 'h05']	['h02', 'd07']	Two_Card-07_02
['c01', 'c10', 'c12', 'h01']	['h01', 'c10']	Two_Card-10_01
['c09', 'd12', 'h04', 'h06']	['c09', 'd12', 'h04']	Three_Card-12_09_04
['c01', 'd04', 'h03', 'h06']	['c01', 'h03', 'd04']	Three_Card-04_03_01
['c01', 'c11', 'd10', 's06']	['c01', 'd10', 's06']	Three_Card-10_06_01
['c03', 'c11', 'd03', 'd09']	['d09', 'c03']	Two_Card-09_03
['c01', 'c07', 'c09', 'h09']	['c01', 'h09']	Two_Card-09_01
['h02', 's04', 's05', 's09']	['h02', 's04']	Two_Card-04_02
['c06', 'c13', 'd03', 'h12']	['h12', 'c06', 'd03']	Three_Card-12_06_03
['h01', 'h13', 's09', 's13']	['s09', 'h01']	Two_Card-09_01
['h02', 'h09', 'h11', 's11']	['s11', 'h02']	Two_Card-11_02
['d04', 'd09', 'h01', 's07']	['h01', 's07', 'd04']	Three_Card-07_04_01
['c11', 'd04', 'h03', 's03']	['c11', 's03', 'd04']	Three_Card-11_04_03
['d12', 'h09', 's09', 's11']	['s11', 'h09', 'd12']	Three_Card-12_11_09
['d12', 'h09', 's01', 's10']	['s01', 'h09', 'd12']	Three_Card-12_09_01
['c05', 'd03', 'd07', 'h08']	['c05', 'h08', 'd03']	Three_Card-08_05_03
